Country,Code,Year,Incidence - HIV/AIDS - Sex: Both - Age: All Ages (Number),Pop,Infected_percent_pop
Democratic Republic of Congo,COD,1990,79722,34612023,0.230330368
Denmark,DNK,1990,310,5140939,0.006030027
Djibouti,DJI,1990,52,590393,0.008807693
Dominica,DMA,1990,16,70422,0.022720173
Dominican Republic,DOM,1990,8706,7133491,0.122044031
Ecuador,ECU,1990,328,10230931,0.003205964
Egypt,EGY,1990,143,56134478,0.000254745
El Salvador,SLV,1990,517,5270074,0.009810109
Equatorial Guinea,GNQ,1990,282,419188,0.067272918
Eritrea,ERI,1990,5674,2258649,0.251212118
Estonia,EST,1990,3,1569174,0.000191183
Eswatini,SWZ,1990,1084,822423,0.131805652
Ethiopia,ETH,1990,163195,47887864,0.340785716
Fiji,FJI,1990,16,728575,0.002196068
Finland,FIN,1990,36,4986431,0.000721959
France,FRA,1990,3626,58235716,0.00622642
Gabon,GAB,1990,1705,949493,0.179569518
Gambia,GMB,1990,338,955595,0.035370633
Georgia,GEO,1990,15,4802000,0.00031237
Germany,DEU,1990,2987,79433029,0.0037604
Ghana,GHA,1990,21100,14773274,0.142825483
Greece,GRC,1990,89,10196792,0.000872824
Greenland,GRL,1990,9,55600,0.01618705
Grenada,GRD,1990,14,96328,0.014533677
Guam,GUM,1990,8,130480,0.006131208
Guatemala,GTM,1990,529,9050115,0.00584523
Guinea,GIN,1990,2476,6352282,0.038978118
Guinea-Bissau,GNB,1990,724,975265,0.074236233
Guyana,GUY,1990,358,743306,0.048163206
Haiti,HTI,1990,25787,7037915,0.366401129
Honduras,HND,1990,298,4955302,0.006013761
Hungary,HUN,1990,109,10373988,0.001050705
Iceland,ISL,1990,8,254826,0.003139397
India,IND,1990,27734,873277799,0.003175851
Indonesia,IDN,1990,2747,181413398,0.001514221
Iran,IRN,1990,135,56366212,0.000239505
Iraq,IRQ,1990,23,17419113,0.000132039
Ireland,IRL,1990,62,3513974,0.001764384
Israel,ISR,1990,221,4660000,0.004742489
Italy,ITA,1990,6141,56719240,0.010827014
Jamaica,JAM,1990,824,2419901,0.03405098
Japan,JPN,1990,646,123478000,0.00052317
Jordan,JOR,1990,7,3565888,0.000196305
Kazakhstan,KAZ,1990,446,16348000,0.002728162
Kenya,KEN,1990,248114,23724574,1.045810138
