country,Code,year,Incidence - HIV/AIDS - Sex: Both - Age: All Ages (Number),Pop,Infected_percent_pop
China,CHN,1991,11905,1150780000,0.001034516
Sweden,SWE,1998,90,8850974,0.001016837
Japan,JPN,2000,1283,126843000,0.001011487
Qatar,QAT,1992,5,495403,0.001009279
Azerbaijan,AZE,1996,78,7763000,0.001004766
Qatar,QAT,1993,5,501479,0.000997051
United Arab Emirates,ARE,1995,24,2415099,0.000993748
Tunisia,TUN,1997,93,9395119,0.000989876
Estonia,EST,1996,14,1415594,0.000988984
Croatia,HRV,1996,45,4557097,0.000987471
Qatar,QAT,1994,5,507044,0.000986108
Japan,JPN,1999,1244,126631000,0.000982382
Georgia,GEO,2000,40,4077131,0.000981082
Croatia,HRV,1993,45,4600463,0.000978162
Qatar,QAT,1995,5,513447,0.00097381
Croatia,HRV,1994,45,4652024,0.000967321
New Zealand,NZL,1992,34,3531700,0.000962709
Algeria,DZA,1997,286,29742980,0.000961571
Japan,JPN,1998,1207,126400000,0.000954905
Libya,LBY,1996,48,5036173,0.000953105
Qatar,QAT,1997,5,535320,0.000934021
Sweden,SWE,1995,82,8826939,0.000928974
Indonesia,IDN,1994,1801,193917458,0.000928746
Croatia,HRV,1997,42,4534920,0.000926146
Greece,GRC,1997,98,10661259,0.000919216
Japan,JPN,1997,1158,126057000,0.000918632
New Zealand,NZL,1991,32,3495100,0.000915568
Azerbaijan,AZE,1995,70,7684850,0.000910883
Greece,GRC,1999,98,10761698,0.000910637
Qatar,QAT,1998,5,551566,0.00090651
Greece,GRC,1998,97,10720509,0.000904808
New Zealand,NZL,1990,30,3329800,0.000900955
Croatia,HRV,1992,41,4575818,0.000896015
Greece,GRC,1996,95,10608800,0.000895483
Japan,JPN,1996,1118,125757000,0.000889016
Greece,GRC,2000,96,10805808,0.000888411
Greece,GRC,1995,93,10562153,0.000880502
Qatar,QAT,1999,5,570486,0.000876446
Tunisia,TUN,1996,81,9267335,0.000874038
Greece,GRC,1990,89,10196792,0.000872824
Iran,IRN,1998,558,63971836,0.000872259
Madagascar,MDG,1991,103,11942809,0.000862444
Afghanistan,AFG,2000,178,20779957,0.000856595
Algeria,DZA,1996,250,29266415,0.000854221
China,CHN,1990,9674,1135185000,0.000852196
Japan,JPN,1995,1066,125472000,0.000849592
Azerbaijan,AZE,1994,64,7596550,0.000842488
Afghanistan,AFG,1999,169,20170847,0.000837843
Afghanistan,AFG,1998,165,19737770,0.000835961
Afghanistan,AFG,1997,161,19357126,0.000831735
Indonesia,IDN,1993,1582,190851184,0.000828918
Libya,LBY,1995,41,4948796,0.000828484
Afghanistan,AFG,1992,120,14485543,0.000828412
United Arab Emirates,ARE,1994,19,2294377,0.000828112
Greece,GRC,1994,87,10512922,0.000827553
Montenegro,MNE,2000,5,604950,0.000826515
Montenegro,MNE,1999,5,606001,0.000825081
Montenegro,MNE,1998,5,607662,0.000822826
Montenegro,MNE,1997,5,609520,0.000820318
Montenegro,MNE,1996,5,611003,0.000818327
Montenegro,MNE,1994,5,611389,0.00081781
Montenegro,MNE,1995,5,611712,0.000817378
Croatia,HRV,1998,37,4532135,0.000816392
Greece,GRC,1991,84,10319927,0.000813959
Azerbaijan,AZE,1990,58,7175200,0.00080834
Afghanistan,AFG,1996,152,18853444,0.000806219
Serbia,SRB,1998,61,7567745,0.000806053
Japan,JPN,1994,1009,125178000,0.000806052
Greece,GRC,1993,84,10460415,0.000803027
Afghanistan,AFG,1993,127,15816601,0.000802954
Sweden,SWE,1997,71,8846062,0.000802617
Greece,GRC,1992,83,10399061,0.000798149
Algeria,DZA,1995,229,28757788,0.000796306
Afghanistan,AFG,1995,144,18110662,0.000795112
Nepal,NPL,1993,162,20489973,0.000790631
Croatia,HRV,1991,37,4689022,0.000789077
Azerbaijan,AZE,1993,59,7494800,0.000787212
Cyprus,CYP,1997,7,891190,0.000785467
Afghanistan,AFG,1991,104,13299016,0.000782013
Laos,LAO,1993,36,4619946,0.00077923
Afghanistan,AFG,1994,133,17075728,0.000778883
Tunisia,TUN,1995,71,9125400,0.000778048
Croatia,HRV,1999,35,4512597,0.000775607
Croatia,HRV,1990,37,4777368,0.000774485
Sao Tome and Principe,STP,1994,1,129426,0.000772642
Cyprus,CYP,1998,7,908710,0.000770323
Pakistan,PAK,1990,829,107647918,0.000770103
Sweden,SWE,1996,68,8840998,0.000769144
Poland,POL,1990,293,38110782,0.000768811
Qatar,QAT,1996,4,522531,0.000765505
Sao Tome and Principe,STP,1995,1,131679,0.000759423
Sri Lanka,LKA,1993,136,17924827,0.000758724
Cyprus,CYP,1999,7,926049,0.0007559
Slovenia,SVN,1997,15,1985956,0.000755304
Finland,FIN,2000,39,5176209,0.000753447
Sao Tome and Principe,STP,1996,1,133799,0.00074739
Azerbaijan,AZE,1992,55,7382050,0.00074505
United Arab Emirates,ARE,1993,16,2173135,0.000736264
Sao Tome and Principe,STP,1997,1,135831,0.000736209
Finland,FIN,1999,38,5165474,0.000735654
Sri Lanka,LKA,1991,129,17535732,0.000735641
North Korea,PRK,1990,149,20293057,0.000734241
Mongolia,MNG,1996,17,2316571,0.000733843
Mauritius,MUS,1993,8,1097374,0.000729013
Finland,FIN,1995,37,5107790,0.000724384
Finland,FIN,1990,36,4986431,0.000721959
Georgia,GEO,1999,30,4157192,0.000721641
Libya,LBY,1994,35,4854871,0.000720925
Finland,FIN,1997,37,5139835,0.000719867
Azerbaijan,AZE,1991,52,7271300,0.00071514
Finland,FIN,1992,36,5041992,0.000714004
Tunisia,TUN,1994,64,8967916,0.000713655
Sri Lanka,LKA,1992,126,17736827,0.000710386
Afghanistan,AFG,1990,88,12412311,0.000708974
Algeria,DZA,1994,199,28213777,0.000705329
Slovenia,SVN,1996,14,1988628,0.000704003
Slovenia,SVN,1995,14,1989872,0.000703563
Finland,FIN,1996,36,5124573,0.000702498
Cyprus,CYP,1995,6,855391,0.000701434
Finland,FIN,1998,36,5153498,0.000698555
Finland,FIN,1991,35,5013740,0.000698082
Estonia,EST,1995,10,1436634,0.000696072
Croatia,HRV,2000,31,4468302,0.000693776
Finland,FIN,1994,35,5088333,0.000687848
Cyprus,CYP,1996,6,873426,0.00068695
United Arab Emirates,ARE,1992,14,2052892,0.000681965
Iran,IRN,1997,429,63136309,0.000679482
Qatar,QAT,2000,4,592467,0.000675143
Serbia,SRB,1990,51,7586000,0.000672291
United Arab Emirates,ARE,1991,13,1937159,0.000671086
Finland,FIN,1993,34,5066447,0.000671082
Japan,JPN,1993,829,124829000,0.000664109
Montenegro,MNE,1992,4,608516,0.000657337
Montenegro,MNE,1993,4,610170,0.000655555
Slovenia,SVN,1994,13,1989443,0.000653449
Libya,LBY,1993,31,4755134,0.000651927
Sri Lanka,LKA,1995,118,18242917,0.000646826
Sri Lanka,LKA,1994,117,18094474,0.000646606
Cyprus,CYP,1991,5,783121,0.000638471
Cyprus,CYP,2000,6,943288,0.000636073
Sri Lanka,LKA,1990,109,17325769,0.000629121
Algeria,DZA,1993,173,27635517,0.000626006
Tunisia,TUN,1993,55,8795934,0.000625289
Cyprus,CYP,1992,5,800610,0.000624524
Czechia,CZE,2000,64,10255063,0.000624082
Japan,JPN,1992,776,124425000,0.000623669
Serbia,SRB,1997,47,7596501,0.000618706
Sri Lanka,LKA,1996,113,18367290,0.000615224
Pakistan,PAK,2000,875,142343583,0.00061471
Cyprus,CYP,1993,5,818750,0.000610687
Serbia,SRB,1991,46,7595636,0.000605611
Slovenia,SVN,1998,12,1981629,0.000605562
Libya,LBY,1992,28,4650896,0.000602035
United Arab Emirates,ARE,1990,11,1828437,0.000601607
Laos,LAO,1992,27,4500346,0.000599954
Cyprus,CYP,1994,5,837104,0.000597297
Indonesia,IDN,1992,1121,187739786,0.000597103
Libya,LBY,1991,27,4544245,0.000594158
Algeria,DZA,1992,159,27028330,0.000588272
Czechia,CZE,1998,60,10294373,0.000582843
Czechia,CZE,1999,59,10283860,0.000573715
Japan,JPN,1991,706,123964000,0.00056952
Mongolia,MNG,1997,13,2335744,0.000556568
Slovenia,SVN,1999,11,1983045,0.000554702
Mauritius,MUS,1992,6,1084441,0.00055328
Slovenia,SVN,1993,11,1991746,0.000552279
Slovenia,SVN,1992,11,1996498,0.000550965
Serbia,SRB,1992,42,7646424,0.000549276
Pakistan,PAK,1991,606,110778655,0.000547037
Tunisia,TUN,1992,47,8613855,0.000545633
Pakistan,PAK,1999,754,138624625,0.000543915
Georgia,GEO,1998,23,4243607,0.000541992
Libya,LBY,1990,24,4436663,0.000540947
Czechia,CZE,1997,55,10304131,0.000533767
Sri Lanka,LKA,1997,97,18470897,0.00052515
Japan,JPN,1990,646,123478000,0.00052317
Sri Lanka,LKA,1998,97,18564595,0.0005225
Mongolia,MNG,1995,12,2298017,0.000522189
Cyprus,CYP,1990,4,766616,0.000521774
Armenia,ARM,2000,16,3069597,0.000521241
Algeria,DZA,1991,136,26400468,0.000515142
Iran,IRN,1996,319,62294919,0.00051208
Montenegro,MNE,1990,3,606372,0.000494746
Montenegro,MNE,1991,3,607105,0.000494148
Serbia,SRB,1993,38,7699307,0.000493551
Pakistan,PAK,1998,664,134843233,0.000492424
Kuwait,KWT,1996,8,1626858,0.000491745
Kuwait,KWT,1998,9,1831121,0.000491502
Tunisia,TUN,1991,41,8427851,0.000486482
Serbia,SRB,1996,37,7617794,0.000485705
Serbia,SRB,1995,37,7625357,0.000485223
Algeria,DZA,1990,124,25758872,0.000481388
Estonia,EST,1994,7,1462514,0.000478628
Czechia,CZE,1996,49,10315241,0.000475025
Mauritius,MUS,1990,5,1058775,0.000472244
Sri Lanka,LKA,1999,88,18663293,0.000471514
Pakistan,PAK,1992,536,113911126,0.000470542
Kuwait,KWT,1997,8,1710257,0.000467766
Mauritius,MUS,1991,5,1070266,0.000467174
Serbia,SRB,1994,36,7734639,0.000465439
Sri Lanka,LKA,2000,85,18777606,0.000452667
Pakistan,PAK,1993,530,117086680,0.000452656
Slovenia,SVN,2000,9,1988925,0.000452506
Pakistan,PAK,1997,592,131057432,0.00045171
Jordan,JOR,2000,23,5122495,0.000449
Tunisia,TUN,1990,37,8242509,0.000448892
Madagascar,MDG,1990,52,11598647,0.000448328
Kuwait,KWT,2000,9,2045123,0.000440071
Kuwait,KWT,1995,7,1605907,0.000435891
