country,code,Age,Number_of_deaths,Continent
Lithuania,LTU,5<,0,Europe
Luxembourg,LUX,5<,0,Europe
Madagascar,MDG,5<,4186,Africa
Malawi,MWI,5<,215656,Africa
Malaysia,MYS,5<,4492,Asia
Maldives,MDV,5<,0,Asia
Mali,MLI,5<,16973,Africa
Malta,MLT,5<,0,Europe
Marshall Islands,MHL,5<,0,Oceania
Mauritania,MRT,5<,37,Africa
Mauritius,MUS,5<,3,Africa
Mexico,MEX,5<,3512,North America
Moldova,MDA,5<,0,Europe
Monaco,MCO,5<,0,Europe
Mongolia,MNG,5<,20,Asia
Montenegro,MNE,5<,0,Europe
Morocco,MAR,5<,4679,Africa
Mozambique,MOZ,5<,335643,Africa
Myanmar,MMR,5<,18891,Asia
Namibia,NAM,5<,20315,Africa
Nauru,NRU,5<,0,Oceania
Nepal,NPL,5<,3696,Asia
Netherlands,NLD,5<,62,Europe
New Zealand,NZL,5<,0,North America
Nicaragua,NIC,5<,1136,Africa
Niger,NER,5<,8967,Africa
Nigeria,NGA,5<,239562,Africa
North Korea,PRK,5<,984,Asia
North Macedonia,MKD,5<,11,Europe
Northern Mariana Islands,MNP,5<,0,Oceania
Norway,NOR,5<,8,Europe
Oman,OMN,5<,54,Asia
Pakistan,PAK,5<,6473,Asia
Palau,PLW,5<,0,North America
Palestine,PSE,5<,61,Asia
Panama,PAN,5<,271,Oceania
Papua New Guinea,PNG,5<,6725,South America
Paraguay,PRY,5<,2031,South America
Peru,PER,5<,12072,Asia
Philippines,PHL,5<,12031,Europe
Poland,POL,5<,92,Europe
Portugal,PRT,5<,83,Europe
Puerto Rico,PRI,5<,83,North America
Qatar,QAT,5<,0,Asia
Romania,ROU,5<,713,Europe
Russia,RUS,5<,11124,Europe
Rwanda,RWA,5<,25817,Africa
Saint Kitts and Nevis,KNA,5<,11,North America
Saint Lucia,LCA,5<,0,North America
Saint Vincent and the Grenadines,VCT,5<,13,North America
Samoa,WSM,5<,19,Oceania
San Marino,SMR,5<,0,Europe
Sao Tome and Principe,STP,5<,0,Africa
Saudi Arabia,SAU,5<,1057,Asia
Senegal,SEN,5<,8328,Africa
Serbia,SRB,5<,112,Europe
Seychelles,SYC,5<,0,Africa
Sierra Leone,SLE,5<,7180,Africa
Singapore,SGP,5<,0,Asia
Slovakia,SVK,5<,3,Oceania
Slovenia,SVN,5<,0,Europe
Solomon Islands,SLB,5<,119,Oceania
Somalia,SOM,5<,12903,Africa
South Africa,ZAF,5<,361794,Africa
South Korea,KOR,5<,74,Asia
South Sudan,SSD,5<,17968,Africa
Spain,ESP,5<,401,Europe
Sri Lanka,LKA,5<,199,Asia
Sudan,SDN,5<,9841,Africa
Suriname,SUR,5<,102,South America
Sweden,SWE,5<,23,Europe
Switzerland,CHE,5<,17,Europe
Syria,SYR,5<,173,Asia
Tajikistan,TJK,5<,27,Asia
Tanzania,TZA,5<,325399,Africa
Thailand,THA,5<,14018,Asia
Timor-Leste,TLS,5<,1629,Asia
Togo,TGO,5<,22443,Africa
Tonga,TON,5<,0,Oceania
Trinidad and Tobago,TTO,5<,123,North America
Tunisia,TUN,5<,281,Africa
Turkey,TUR,5<,443,Asia
Turkmenistan,TKM,5<,42,Asia
Tuvalu,TUV,5<,0,Oceania
Uganda,UGA,5<,428131,Africa
Ukraine,UKR,5<,914,Europe
United Arab Emirates,ARE,5<,79,Asia
United Kingdom,GBR,5<,243,Europe
United States of America,USA,5<,3939,North America
Uruguay,URY,5<,19,South America
Uzbekistan,UZB,5<,181,Asia
Vanuatu,VUT,5<,36,Oceania
Venezuela,VEN,5<,1534,South America
Vietnam,VNM,5<,2072,Asia
Yemen,YEM,5<,1759,Asia
Zambia,ZMB,5<,216174,Africa
Zimbabwe,ZWE,5<,236368,Africa
Afghanistan,AFG,5 to 14,76,Asia
Albania,ALB,5 to 14,0,Europe
Algeria,DZA,5 to 14,99,Africa
American Samoa,ASM,5 to 14,0,Oceania
Andorra,AND,5 to 14,0,Europe
Angola,AGO,5 to 14,7578,Africa
Antigua and Barbuda,ATG,5 to 14,0,North America
Argentina,ARG,5 to 14,495,South America
Armenia,ARM,5 to 14,0,Europe
Australia,AUS,5 to 14,41,Oceania
Austria,AUT,5 to 14,8,Europe
Azerbaijan,AZE,5 to 14,0,Europe
Bahamas,BHS,5 to 14,37,North America
Bahrain,BHR,5 to 14,0,Asia
Bangladesh,BGD,5 to 14,84,Asia
Barbados,BRB,5 to 14,0,North America
Belarus,BLR,5 to 14,18,Europe
Belgium,BEL,5 to 14,43,Europe
Belize,BLZ,5 to 14,31,North America
Benin,BEN,5 to 14,3433,Africa
Bermuda,BMU,5 to 14,0,North America
Bhutan,BTN,5 to 14,3,Asia
Bolivia,BOL,5 to 14,284,South America
Bosnia and Herzegovina,BIH,5 to 14,0,Europe
Botswana,BWA,5 to 14,3354,Africa
Brazil,BRA,5 to 14,7171,South America
Brunei,BRN,5 to 14,0,Asia
Bulgaria,BGR,5 to 14,3,Europe
Burkina Faso,BFA,5 to 14,12771,Africa
Burundi,BDI,5 to 14,11557,Africa
Cambodia,KHM,5 to 14,2689,Asia
Cameroon,CMR,5 to 14,19217,Africa
Canada,CAN,5 to 14,88,North America
Cape Verde,CPV,5 to 14,94,Africa
Central African Republic,CAF,5 to 14,6594,Africa
Chad,TCD,5 to 14,4742,Africa
Chile,CHL,5 to 14,42,South America
China,CHN,5 to 14,3411,Asia
Colombia,COL,5 to 14,464,South America
Comoros,COM,5 to 14,0,Africa
Congo,COG,5 to 14,6897,Africa
Costa Rica,CRI,5 to 14,141,North America
Cote d'Ivoire,CIV,5 to 14,30767,Africa
Croatia,HRV,5 to 14,0,Europe
Cuba,CUB,5 to 14,43,North America
Cyprus,CYP,5 to 14,0,Europe
Czechia,CZE,5 to 14,0,Europe
Democratic Republic of Congo,COD,5 to 14,34186,Africa
Denmark,DNK,5 to 14,3,Europe
Djibouti,DJI,5 to 14,317,Africa
Dominica,DMA,5 to 14,0,North America
Dominican Republic,DOM,5 to 14,513,North America
Ecuador,ECU,5 to 14,292,South America
Egypt,EGY,5 to 14,56,Africa
El Salvador,SLV,5 to 14,169,North America
Equatorial Guinea,GNQ,5 to 14,1195,Africa
Eritrea,ERI,5 to 14,2083,Africa
Estonia,EST,5 to 14,0,Europe
